著者__受賞作,著者,受賞作,ISBN10,ImageURL,賞名,Calil
トム・ロブ・スミス__偽りの楽園,トム・ロブ・スミス,偽りの楽園,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_ミステリが読みたい!_海外編09_偽りの楽園 _トム・ロブ・スミス,https://calil.jp/search?q=%E3%83%88%E3%83%A0%E3%83%BB%E3%83%AD%E3%83%96%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9%20%E5%81%BD%E3%82%8A%E3%81%AE%E6%A5%BD%E5%9C%92
ルース・レンデル__街への鍵,ルース・レンデル,街への鍵,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_ミステリが読みたい!_海外編08_街への鍵 _ルース・レンデル,https://calil.jp/search?q=%E3%83%AB%E3%83%BC%E3%82%B9%E3%83%BB%E3%83%AC%E3%83%B3%E3%83%87%E3%83%AB%20%E8%A1%97%E3%81%B8%E3%81%AE%E9%8D%B5
ルネ・ナイト__夏の沈黙,ルネ・ナイト,夏の沈黙,4488010458,https://images-na.ssl-images-amazon.com/images/P/4488010458.09.LZZZZZZZ,2016_ミステリが読みたい!_海外編04_夏の沈黙 _ルネ・ナイト,https://calil.jp/book/4488010458
ウィリアム・ケント・クルーガー__ありふれた祈り,ウィリアム・ケント・クルーガー,ありふれた祈り,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_ミステリが読みたい!_海外編01_ありふれた祈り _ウィリアム・ケント・クルーガー,https://calil.jp/search?q=%E3%82%A6%E3%82%A3%E3%83%AA%E3%82%A2%E3%83%A0%E3%83%BB%E3%82%B1%E3%83%B3%E3%83%88%E3%83%BB%E3%82%AF%E3%83%AB%E3%83%BC%E3%82%AC%E3%83%BC%20%E3%81%82%E3%82%8A%E3%81%B5%E3%82%8C%E3%81%9F%E7%A5%88%E3%82%8A
虻川枕__パドルの子,虻川枕,パドルの子,4591155285,https://images-na.ssl-images-amazon.com/images/P/4591155285.09.LZZZZZZZ,2016_ポプラ社小説新人賞_第6回（2016年）受賞_パドルの子_虻川枕,https://calil.jp/book/4591155285
福山陽士__殴りサマナと呼ばないで（神獣(わたし)たちと一緒なら世界最強イケちゃいますよ?）,福山陽士,殴りサマナと呼ばないで（神獣(わたし)たちと一緒なら世界最強イケちゃいますよ?）,4040723686,https://images-na.ssl-images-amazon.com/images/P/4040723686.09.LZZZZZZZ,2016_ファンタジア大賞_第29回（2016年）入選_殴りサマナと呼ばないで（神獣（わたし）たちと一緒なら世界最強イケちゃいますよ?）_福山陽士,https://calil.jp/book/4040723686
Ｔ･ユッキツ（降次飛行）__その死霊術教師、小物（死霊術教師と異界召喚（ユグドラシル））,降次飛行,その死霊術教師、小物（死霊術教師と異界召喚（ユグドラシル））,4040723821,https://images-na.ssl-images-amazon.com/images/P/4040723821.09.LZZZZZZZ,2016_ファンタジア大賞_第29回（2016年）入選_その死霊術教師、小物（死霊術教師と異界召喚（ユグドラシル））_Ｔ･ユッキツ（降次飛行）,https://calil.jp/book/4040723821
相上おかき__女の子のおしっこは好きですか?[YES/NO]（ぼくの日常が変態に侵蝕されてパンデミック!?）,相上おかき,女の子のおしっこは好きですか?[YES/NO]（ぼくの日常が変態に侵蝕されてパンデミック!?）,4040722701,https://images-na.ssl-images-amazon.com/images/P/4040722701.09.LZZZZZZZ,2016_ファンタジア大賞_第29回（2016年）特別賞_女の子のおしっこは好きですか?[YES/NO]（ぼくの日常が変態に侵蝕されてパンデミック!?）_相上おかき,https://calil.jp/book/4040722701
井中だちま__通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか?,井中だちま,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか?,4040722035,https://images-na.ssl-images-amazon.com/images/P/4040722035.09.LZZZZZZZ,2016_ファンタジア大賞_第29回（2016年）大賞_通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか?_井中だちま,https://calil.jp/book/4040722035
下等妙人__これが俺の最強ロード〜彼女とジジイが導いてくれるようです〜（魔術学園領域の拳王(バーサーカー) 黒焔姫秘約）,下等妙人,これが俺の最強ロード〜彼女とジジイが導いてくれるようです〜（魔術学園領域の拳王(バーサーカー) 黒焔姫秘約）,4040722027,https://images-na.ssl-images-amazon.com/images/P/4040722027.09.LZZZZZZZ,2016_ファンタジア大賞_第29回（2016年）銀賞_これが俺の最強ロード〜彼女とジジイが導いてくれるようです〜（魔術学園領域の拳王（バーサーカー） 黒焔姫秘約）_下等妙人,https://calil.jp/book/4040722027
凪木エコ__伏せ札オープンばりに前髪オープン（俺の青春を生け贄に、彼女の前髪をオープン）,凪木エコ,伏せ札オープンばりに前髪オープン（俺の青春を生け贄に、彼女の前髪をオープン）,4040721993,https://images-na.ssl-images-amazon.com/images/P/4040721993.09.LZZZZZZZ,2016_ファンタジア大賞_第29回（2016年）金賞_伏せ札オープンばりに前髪オープン（俺の青春を生け贄に、彼女の前髪をオープン）_凪木エコ,https://calil.jp/book/4040721993
田辺屋敷__だから少年は彼女を消すことにした（追伸 ソラゴトに微笑んだ君へ）,田辺屋敷,だから少年は彼女を消すことにした（追伸 ソラゴトに微笑んだ君へ）,4040722078,https://images-na.ssl-images-amazon.com/images/P/4040722078.09.LZZZZZZZ,2016_ファンタジア大賞_第29回（2016年）金賞_だから少年は彼女を消すことにした（追伸 ソラゴトに微笑んだ君へ）_田辺屋敷,https://calil.jp/book/4040722078
ジム・ブッチャー__The Cinder Spires: The Aeronaut's Windlass,ジム・ブッチャー,The Cinder Spires: The Aeronaut's Windlass,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_ヒューゴー賞_長編小説部門_2016年 候補_The Cinder Spires: The Aeronaut's Windlass_ジム・ブッチャー,https://calil.jp/search?q=%E3%82%B8%E3%83%A0%E3%83%BB%E3%83%96%E3%83%83%E3%83%81%E3%83%A3%E3%83%BC%20The%20Cinder%20Spires%3A%20The%20Aeronaut%27s%20Windlass
